candidate,party,criminal_cases,education,age,total_assets,total_assets_rs,liabilities,liabilities_rs,2026_constituency,2026_district,is_winner,myneta_url,self_profession,spouse_profession,education_details,criminal_cases_details,election_expenditure,pan_given,serious_ipc_counts,movable_assets_rs,immovable_assets_rs
Sivakumar M,Tamilaga Vettri Kazhagam,2,Graduate,48,"Rs 97,26,649 ~ 97 Lacs+",9726649,"Rs 26,14,500 ~ 26 Lacs+",2614500,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=764,Agriculture,Housewife,"Category: Graduate Graduate 1998, Bishop College, Tirchy, HSC 1995, Sirumalar Higher Secondary School Annamangalam,",charges related to Being member of an unlawful assembly. (BNS Section-189(2)); charges related to Wrongfully restraining any person. (BNS Section-126(2)); charges related to Negligent conduct with respect to fire or combustible matter. (BNS Section-287),,Y,0,4756316,4970333
Stalin V,BSP,0,Graduate,36,"Rs 1,59,86,660 ~ 1 Crore+",15986660,,8760275,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2961,"Manager, Private Company",House Wife,"Category: Graduate B.A., English, St.Thomas Arts & Science College, Koyambedu, Chennai, March 2006-2009",,,Y,0,15986660,0
Sudhakar M,Tamizhaga Vaazhvurimai Katchi,0,10th Pass,42,"Rs 84,14,700 ~ 84 Lacs+",8414700,"Rs 76,94,911 ~ 76 Lacs+",7694911,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2962,Agriculture & Renting Vehicle,House Wife,"Category: 10th Pass 10th Standard, Govt High School, J. Suthamalli, Ariyalur Dt - 1995",,,Y,0,6414700,2000000
Thanga. Shanmuga Sundaram,Naadaalum Makkal Katchi,5,Post Graduate,48,"Rs 1,48,37,499 ~ 1 Crore+",14837499,Rs 0 ~,0,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=653,Agriculture,Part-time LIC Agent,"Category: Post Graduate M.B.A (Finance) KSR Cetre for managenent Studies, Thiruchengode, Salem-Period-2000-2002, B.B.A, Thanthai Han s Roever College, Perambalur, In 1997-2000, B.Sc, Acupuncture Science-Thanjai Tamil University Thanjavur In 2013-14.",charges related to Punishment for Being member of an unlawful assembly (IPC Section-143); charges related to Punishment for wrongful restraint (IPC Section-341); charges related to Assault or criminal force to deter public servant from discharge of his duty (IPC Section-353); charges related to Disobedience to order duly promulgated by public servant (IPC Section-188); charges related to Punishment for public nuisance in cases not otherwise provided for (IPC Section-290),,Y,0,7977499,6860000
Vetrivel G,IND,0,Graduate,48,"Rs 5,04,151 ~ 5 Lacs+",504151,,0,ARIYALUR,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2969,Agriculture Wages,House Wife,"Category: Graduate B.A, From Higher Govt Arts College Ariyalur In 1997-2000",,,Y,0,4151,500000
Vaithilingam G.,Pattali Makkal Katchi,1,12th Pass,52,"Rs 4,77,48,613 ~ 4 Crore+",47748613,"Rs 19,17,424 ~ 19 Lacs+",1917424,JAYANKONDAM,ARIYALUR,1,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=765,"Politician, Agriculturalist and Business Activities",Agriculturalist and Business Activities,"Category: 12th Pass B.Sc., Govt Arts College, Ariyalur, 1994-95 ( Discontinued due to personal reasons.), +2, Govt Higher Secondary School, Vilandai - Andimadam, Ariyalur District",charges related to Being member of an unlawful assembly. (BNS Section-189(2)); charges related to Wrongfully restraining any person. (BNS Section-126(2)); charges related to Punishment for Criminal trespass. (BNS Section-329(3)),,Y,0,13337613,34411000
Anandhakumar R.,IND,0,Others,56,"Rs 65,00,000 ~ 65 Lacs+",6500000,"Rs 35,000 ~ 35 Thou+",35000,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2976,Farmer,Housewife,"Category: Others Diploma in Secondary Education, Modern Arts and Science College, Tamil Nadu Teachers Training University",,,Y,0,125000,6375000
Azhagesan V.R.,Desiya Makkal Sakthi Katchi,0,Post Graduate,66,"Rs 18,62,500 ~ 18 Lacs+",1862500,"Rs 3,24,000 ~ 3 Lacs+",324000,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2970,NIL,NIL,"Category: Post Graduate MA , Chennai University, Post, B.Lit, Chennai Unversity -1989, SSLC in 1978",,,Y,0,412500,1450000
Chanthirasekar S.,IND,0,Illiterate,45,"Rs 2,41,612 ~ 2 Lacs+",241612,,0,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2980,Agriculture,NA,Category: Illiterate NIL,,,N,0,49962,191650
Chinnadurai S.,BSP,0,12th Pass,53,"Rs 11,74,169 ~ 11 Lacs+",1174169,Rs 0 ~,0,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=443,Wages,Housewife,"Category: 12th Pass H.Sc., Govt. Hr Sec. School Udayarpalayam March 1991",,,Y,0,674169,500000
Gurunathan N.,IND,0,5th Pass,53,"Rs 3,000 ~ 3 Thou+",3000,Rs 0 ~,0,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2979,NA,NA,Category: 5th Pass 6th Standard,,,N,0,3000,0
Isac Newtan J.,IND,0,Others,30,"Rs 2,62,000 ~ 2 Lacs+",262000,,0,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2977,Agriculture,NA,Category: Others DME National College Jayankondam 2014-2015,,,N,0,12000,250000
Jayabalan G.,Vada Tamil Nadu Munnetra Katchi,0,Graduate,66,"Rs 93,63,540 ~ 93 Lacs+",9363540,"Rs 6,61,490 ~ 6 Lacs+",661490,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2975,Pension & Agriculture,Housewife,Category: Graduate B.sc. Zoology From Kumbakonam Govt. Mens College 1980,,,Y,0,1863540,7500000
Kannan K.,IND,1,Graduate,39,"Rs 12,000 ~ 12 Thou+",12000,Rs 0 ~,0,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2978,Agriculture,NA,Category: Graduate B.Com. MRC Thathanur 2004-2007,"charges related to Voluntarily causing hurt to deter public servant from his duty. (BNS Section-121(1)); charges related to Voluntarily causing hurt by dangerous weapons or means. (BNS Section-118(1)); charges related to If threat be to cause death or grievous hurt, etc. (BNS Section-351(3))",,N,0,12000,0
Kannan Ka.So.Ka.,DMK,1,Post Graduate,47,"Rs 14,43,49,245 ~ 14 Crore+",144349245,,11161767,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1163,"Agriculture, Educational and Social Works and Author and Managing Trustee of Charitable Trust",Medical Profession (Doctor BDS) and Member and Managing Trustee of Charitable Trust(s),"Category: Post Graduate M.Com., Tamil Nadu Open University, Chennai, Tamilnadu - 2006",charges related to Punishment for Being member of an unlawful assembly (IPC Section-143); charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269); charges related to Disobedience to quarantine rule (IPC Section-271),,Y,0,46649700,97699545
Kavitha Rajendran G.,Tamilaga Vettri Kazhagam,0,10th Pass,65,"Rs 2,82,34,030 ~ 2 Crore+",28234030,"Rs 57,41,610 ~ 57 Lacs+",5741610,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2971,Public Service,Business Sole Propreitor Sri Lakshmi Fly Ash,Category: 10th Pass SSLC Passed 1976,,,Y,0,10942847,17291183
Pagutharivalan A.,Tamizhaga Vaazhvurimai Katchi,2,Graduate Professional,35,"Rs 90,53,920 ~ 90 Lacs+",9053920,"Rs 7,24,850 ~ 7 Lacs+",724850,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2973,Engineer Construction Industry,Housewife,Category: Graduate Professional B.E. (Civil) Annamali University Chidambaram 2012,"charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324); charges related to Punishment for Rioting (IPC Section-147); charges related to Rioting, armed with deadly weapon (IPC Section-148); charges related to Punishment for voluntarily causing hurt (IPC Section-323)",,Y,1,4303920,4750000
Ravanan M.,Naadaalum Makkal Katchi,0,12th Pass,59,"Rs 1,19,300 ~ 1 Lacs+",119300,,870000,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=442,T P Retirement Principal,Housewife,"Category: 12th Pass 12th Govt Higher Secondary School, D.T.Ed Chennai Egmore Teacher Training School 1987, SSLC Govt Higher Secondary School, Kurichikulam",,,Y,0,19300,100000
Ravisankar N.,Aanaithinthiya Jananayaka Pathukappu Kazhagam,6,12th Pass,54,"Rs 5,81,55,069 ~ 5 Crore+",58155069,"Rs 2,31,30,615 ~ 2 Crore+",23130615,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2974,Agriculture,Agriculture /Contractor,Category: 12th Pass 12th Std. Govt Boys Higher Secondary SChool Kattumannarkoil 1993,"charges related to Theft in dwelling house, etc. (IPC Section-380); charges related to Dishonestly receiving stolen property (IPC Section-411); charges related to House-trespass in order to commit offence punishable with imprisonment (IPC Section-451); charges related to Punishment for Being member of an unlawful assembly (IPC Section-143); charges related to Disobedience to order duly promulgated by public servant (IPC Section-188); charges related to Negligent act likely to spread infection of disease dangerous to life (IPC Section-269); charges related to Rioting, armed with deadly weapon (IPC Section-148); charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149); charges related to Mischief causing damage to the amount of fifty rupees (IPC Section-427); charges related to Punishment for public nuisance in cases not otherwise provided for (IPC Section-290); charges related to Punishment for wrongful restraint (IPC Section-341)",,Y,3,40305069,17850000
Revathi K.,Naam Tamilar Katchi,0,Post Graduate,37,"Rs 3,09,000 ~ 3 Lacs+",309000,Rs 0 ~,0,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=50,HomeMaker,Pharmacy,"Category: Post Graduate Master of Computer Science, Bachelor of Education, Meenakshi Ramasamy Arts and Science College, year of completion 2011",,,Y,0,309000,0
Sankar M.,Rashtriya Samaj Dal (R),0,5th Pass,42,"Rs 1,01,000 ~ 1 Lacs+",101000,,0,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2972,NIL,NIL,Category: 5th Pass 5th Grade,,,N,0,101000,0
Venkatajalapathi R.,IND,0,8th Pass,59,"Rs 37,24,145 ~ 37 Lacs+",3724145,"Rs 75,000 ~ 75 Thou+",75000,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2982,Public Service,Business Sole Propreitor Sri Venkateshwara Maligai Stores,Category: 8th Pass 8th Passed As On 30-06-1981,,,Y,0,1674465,2049680
Vezhaventhan D.,IND,0,Doctorate,40,"Rs 67,35,513 ~ 67 Lacs+",6735513,,944800,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=441,Associate Professor,Assistant Professor,"Category: Doctorate Ph.D., Public Administration Doctor of Philosophy, University of Madras, Awarded year-2017, M.Phil,(Master of Phiosophy) Public Administration, Presidency College, Chennai-5,year-2010.",,,Y,0,1685513,5050000
Vinothsavariremijeas C.,IND,1,10th Pass,36,"Rs 4,69,50,132 ~ 4 Crore+",46950132,"Rs 2,25,58,374 ~ 2 Crore+",22558374,JAYANKONDAM,ARIYALUR,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2981,"Business ,Grocery, TV Showroom ,Agriculture",Business Trading Food With All Products,Category: 10th Pass 10th Grade(Interruption) Govt. Higher Secondary School Tha.Pazhur 2003,charges related to Defines Bribery (BNS Section-170),,Y,0,6050132,40900000
K.V. Vijay Damu,Tamilaga Vettri Kazhagam,4,8th Pass,46,"Rs 28,86,596 ~ 28 Lacs+",2886596,,0,ROYAPURAM,CHENNAI,1,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1539,Auto Consulting Business,Self-Employed,Category: 8th Pass 9th Standard Corporation High School Papanchavadi Adyar Chennai In 1993,"charges related to Joining or continuing in an unlawful assembly, knowing that it has been commanded to disperse. (BNS Section-189(3)); charges related to Knowingly joining or continuing in any assembly of five or more persons after it has been commanded to disperse. (BNS Section-189(5)); charges related to Negligent conduct with respect to fire or combustible matter. (BNS Section-287)",,Y,0,2886596,0
A. Babu Mailan,Naam Tamilar Katchi,0,Others,54,"Rs 36,62,000 ~ 36 Lacs+",3662000,"Rs 46,58,722 ~ 46 Lacs+",4658722,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=139,Social Worker / ISWOT - Indian Seamens Welfare Organisation President,House Wife,Category: Others Marine Engineer Officer Ts. Rahman Mumbai 2010,,,Y,0,1082000,2580000
A. Jayakumar,IND,0,Graduate,43,"Rs 6,02,959 ~ 6 Lacs+",602959,Rs 0 ~,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1556,M/s We Sun X General Traders - Chickpea Business,NIL,Category: Graduate Bachelor of Arts. From (B.A. Philosophy) Akursant Manmul Jain College Meenambakkam Chennai In 2006,,,Y,0,602959,0
A. Nizar Ahamed,IND,0,Graduate,57,"Rs 19,84,500 ~ 19 Lacs+",1984500,,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1549,Sam Exim Travels,Housewife,"Category: Graduate B.B.A.(Bachelor of Business Administration), University of Madras In Year 1994",,,Y,0,1984500,0
A. Sasikumar,IND,0,Graduate Professional,39,"Rs 7,11,001 ~ 7 Lacs+",711001,Rs 0 ~,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1543,Advocate,House wife,"Category: Graduate Professional LLB. From Anatha College of Law Tirupati In 2021, B.Com From Sir Thiyagaraya College Old Washermenpet In 2008",,,Y,0,711001,0
A. Sathik Kumar,Democratic National Allegiance,0,Graduate,36,"Rs 3,08,500 ~ 3 Lacs+",308500,"Rs 1,50,000 ~ 1 Lacs+",150000,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1536,Washing Machine Service,House Wife,"Category: Graduate B.A. Economics From Thiyagaraya College ,Old Washermenpet, Chennai, Academic In Year 2007-2010",,,Y,0,308500,0
C. Sridhar,IND,0,Graduate Professional,43,"Rs 11,69,411 ~ 11 Lacs+",1169411,,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1559,Lawyer,Housewife,"Category: Graduate Professional Bachelor of Law From Shri Venkateswara University, Thirupathi In 2005-2008",,,Y,0,1169411,0
D. Jayakumar,AIADMK,2,Graduate Professional,65,"Rs 5,33,11,296 ~ 5 Crore+",53311296,"Rs 32,34,209 ~ 32 Lacs+",3234209,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=330,Advocate,Business,"Category: Graduate Professional Bachelor of Law From Madras Law College In 1987, Bachelor of Science From Pachaiappas College In 1981","charges related to Undue influence at elections (IPC Section-171C); charges related to Voluntarily causing hurt by dangerous weapons or means (IPC Section-324); charges related to Attempt to murder (IPC Section-307); charges related to Punishment for Rioting (IPC Section-147); charges related to Rioting, armed with deadly weapon (IPC Section-148); charges related to Wantonly giving provocation with intent to cause riot-if rioting be committed-if not committed (IPC Section-153); charges related to Punishment for wrongful Confinement (IPC Section-342); charges related to Assault or criminal force with intent to dishonour person, otherwise than on grave provocation (IPC Section-355); charges related to Punishment for voluntarily causing hurt (IPC Section-323); charges related to Every member of unlawful assembly guilty of offence committed in prosecution of common object (IPC Section-149); charges related to Wrongfully restraining any person. (BNS Section-126(2)); charges related to Committing public nuisance in cases not otherwise provided for. (BNS Section-292); charges related to Being member of an unlawful assembly. (BNS Section-189(2)); charges related to Disobedience to order duly promulgated by public servant (BNS Section-223)",,Y,3,46911296,6400000
D. Jayakumar,IND,0,Post Graduate,42,"Rs 7,34,319 ~ 7 Lacs+",734319,"Rs 73,90,000 ~ 73 Lacs+",7390000,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1557,Advocate,Executive at MAERSK Global Service Centers (INDIA) Pvt Ltd,Category: Post Graduate Master of Science and Bachelor of Law From Sri RKM Law College In 2014,,,Y,0,534319,200000
Dr. A. Subair Khan,DMK,1,Post Graduate,49,"Rs 13,36,56,814 ~ 13 Crore+",133656814,,56505410,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=329,"Social Work, Professional, Business and TN Wakfboard Member",Business,"Category: Post Graduate MS Ortho, From Sri Ramchandra Medical College in Year-2004, MBBS From Anna Malai University In Year-2001","charges related to Theft in dwelling house, etc. (IPC Section-380)",,Y,1,89979814,43677000
G. Karthikeyan,IND,0,Graduate Professional,31,"Rs 5,45,330 ~ 5 Lacs+",545330,Rs 0 ~,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1541,Lawyer,Lawyer,Category: Graduate Professional Bachelor of Law From Sri Eshwar Reddy College of Law In 2017-2020,,,Y,0,545330,0
I Jayaprakash,IND,0,Graduate,39,"Rs 30,40,658 ~ 30 Lacs+",3040658,Rs 0 ~,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1558,Private Work,Housewife,"Category: Graduate B.Sc From Statistics Loyola College, Nugambakkam In 1997-19999",,,Y,0,3040658,0
J. Selvakumar,IND,0,8th Pass,50,"Rs 19,95,388 ~ 19 Lacs+",1995388,,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1547,Business,House wife,Category: 8th Pass 8th Standard Santhome Higher Secondary School,,,Y,0,1995388,0
K. Prasath,IND,0,10th Pass,44,"Rs 20,44,246 ~ 20 Lacs+",2044246,Rs 0 ~,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1551,Business,Housewife,Category: 10th Pass 10th Standard PS Higher Secondary School Mylapore,,,Y,0,1264246,780000
K.J. Sivakumar,IND,0,Graduate Professional,47,"Rs 1,12,24,179 ~ 1 Crore+",11224179,Rs 0 ~,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1546,Advocate,NA,"Category: Graduate Professional BL From Dr. Ambedkar Law University, B.A. From Bharathidasan University Trichy",,,Y,0,7224179,4000000
Kerthivarunnan .R,IND,0,Graduate,45,"Rs 15,26,908 ~ 15 Lacs+",1526908,Rs 0 ~,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1542,Business,Business,"Category: Graduate BBA From University of Madras, Distance Education In 2006",,,Y,0,1526908,0
M Dhinakaran,IND,0,Graduate Professional,48,"Rs 3,18,823 ~ 3 Lacs+",318823,Rs 0 ~,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1548,Lawyer,Housewife,"Category: Graduate Professional Bachelor of Law From Shri Venkateswara University, Thirupathi In 20015-2020",,,Y,0,318823,0
M. Jayarajkumar,BSP,0,Graduate Professional,29,"Rs 1,30,500 ~ 1 Lacs+",130500,,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1535,Advocate,Housewife,"Category: Graduate Professional B.A., LLB From Dr. Ambedkar Global Law College, Tirupathy In Year 2020",,,Y,0,130500,0
M. Mahalakshmi,IND,0,Graduate Professional,61,"Rs 1,13,00,800 ~ 1 Crore+",11300800,"Rs 19,00,000 ~ 19 Lacs+",1900000,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1552,Farming,"Dupty Register ,University of Madras , Chepauk , Chennai 5","Category: Graduate Professional B.Ed -Distance Education from University of Chennai In 1994, B.Sc Zoology from Bharathi Government College for Women Chennai University of Madras In1986",,,Y,0,2400800,8900000
M. Rajkumar,Tamizhaga Vaazhvurimai Katchi,0,Graduate Professional,44,"Rs 57,89,389 ~ 57 Lacs+",5789389,"Rs 9,40,617 ~ 9 Lacs+",940617,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1537,Self Employed,Housewife,"Category: Graduate Professional Bachelor of Law from S.V.university, Anantha Law Collrege, Tirpati 2020",,,Y,0,5789389,0
M. Shanmugam,IND,0,Post Graduate,29,"Rs 4,39,581 ~ 4 Lacs+",439581,,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1544,Lawyer,NIL,"Category: Post Graduate MBA From Finance, Madras University, Chepauk In 2018-2020, LB From Anantha College of Law, Tirupathi In 2021-2024",,,Y,0,439581,0
P. Sumathi,IND,0,10th Pass,53,"Rs 6,50,000 ~ 6 Lacs+",650000,"Rs 97,500 ~ 97 Thou+",97500,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1545,Head of Household,Wages,Category: 10th Pass SSLC,,,Y,0,650000,0
R. Rajkumar,IND,0,Post Graduate,29,"Rs 4,18,668 ~ 4 Lacs+",418668,Rs 0 ~,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1555,Lawyer,NIL,"Category: Post Graduate LLM Property Law From Chennai Dr. Ambedkar Govt. Law Collage Pattaraiperumbudur Thiruvallur 2002-2024, MBA From HR Pulc NungambakkanIn 2017-2019",,,Y,0,418668,0
R. Vinothkumar,Naam Indiar Party,0,Graduate Professional,38,"Rs 13,28,718 ~ 13 Lacs+",1328718,,0,ROYAPURAM,CHENNAI,0,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1538,Lawyer,Housewife,"Category: Graduate Professional Bachelor of Law From Dr. Ambedkar Government Law College Chennai In 2014, Bachelor of Business Administration From University Chennai University In 2011",,,Y,0,1328718,0
